Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Austria;2000;30,08;48,94;46,69;38844,4;6,38;14,16;79,46;37,08;235,78;508,85;504,62;349,19;88,04
Austria;2001;30,05;48,78;46,76;39186,34;6,28;13,8;79,92;37,47;228,91;492,23;520,09;363,19;85,45
Austria;2002;29,25;50,15;47,88;39638,03;6,08;12,96;80,96;37,87;233,86;472,23;538,4;388,01;91,15
Austria;2003;27,38;50,19;48,01;39816,77;5,78;13,07;81,15;38,31;233,71;462,76;553,98;398,99;98,3
Austria;2004;26,3;49,36;46,45;40652,81;4,86;13,29;81,85;38,3;247,86;447,42;552,12;396,38;89,94
Austria;2005;26,82;50,67;47,7;41282,88;5,28;12,9;81,82;38,7;266,8;430,51;564,65;423,8;109
Austria;2006;27,92;51,24;48,37;42498,01;5,28;13,41;81,3;39,18;267,75;423,33;571,38;445,43;120,29
Austria;2007;26,16;52,12;49,35;43939,43;5,62;12,98;81,41;39,5;277,51;419,87;572,84;462,73;130,1
Austria;2008;28,12;52,68;50,35;44441,79;5,23;12,26;82,51;39,81;278,57;427,33;562,84;479,15;143,27
Austria;2009;27,35;53,37;50,66;42656,85;5,2;11,42;83,38;40,1;279,03;435,81;557,9;499,78;148,57
Austria;2010;28,92;53,51;51,03;43336,2;4,99;11,47;83,54;40,55;267,18;435,34;543,38;521,8;163,38
Austria;2011;27,5;53,84;51,37;44452,73;4,66;12,45;82,9;40,64;270,31;439,01;537,94;539,02;166,63
Austria;2012;30,08;54,34;51,74;44551,62;4,24;12,65;83,11;40,7;272,58;454,87;523,93;552,31;176,92
Austria;2013;29,35;54,6;51,71;44301,1;4,18;13;82,81;40,91;271,39;460,21;513,21;570,28;188,9
Austria;2014;30,31;54,56;51,63;44246,89;4,57;12,69;82,74;40,99;270,44;470,02;499;580,56;198,1
Austria;2015;29,68;54,54;51,64;44197,54;4,21;12,14;83,65;41,2;262,53;475,88;493,84;582,02;218,13
Austria;2016;31,79;54,95;51,9;44632,73;3,93;11,98;84,09;41,24;263,45;492,81;490,35;586,32;238,95
Austria;2017;31,8;54,87;52,11;45421,43;3,68;11,41;84,91;41,41;254,54;490,57;491,6;589,17;257,09
